language_id,canonical_semantic_id,observed,baseline_present,new_vs_baseline,package_count,file_count,occurrences,ecosystems
julia,UASF_0022,1,0,1,3,5,6,github
julia,UASF_0051,1,0,1,6,63,199,github
julia,UASF_0119,1,0,1,6,400,24402,github
julia,UASF_0151,1,0,1,3,9,23,github
julia,UASF_0182,1,0,1,6,574,6132,github
julia,UASF_0183,1,0,1,6,154,810,github
julia,UASF_0217,1,0,1,6,219,2655,github
julia,UASF_0218,1,0,1,6,131,538,github
julia,UASF_0302,1,0,1,6,130,386,github
julia,UASF_0304,1,0,1,6,473,1818,github
julia,UASF_0305,1,0,1,6,112,512,github
julia,UASF_0306,1,0,1,6,373,13359,github
julia,UASF_0308,1,0,1,6,124,357,github
nim,UASF_0026,1,0,1,5,5,10,github
nim,UASF_0118,1,0,1,6,294,1173,github
nim,UASF_0119,1,0,1,6,139,590,github
nim,UASF_0151,1,0,1,4,74,447,github
nim,UASF_0183,1,0,1,6,175,704,github
nim,UASF_0207,1,0,1,6,130,572,github
nim,UASF_0217,1,0,1,6,36,160,github
nim,UASF_0223,1,0,1,6,28,137,github
nim,UASF_0304,1,0,1,6,727,1865,github
nim,UASF_0305,1,0,1,6,326,1982,github
nim,UASF_0306,1,0,1,6,573,4767,github
nim,UASF_0308,1,0,1,6,164,401,github
nim,UASF_0309,1,0,1,6,77,123,github
r,UASF_0014,1,1,0,127,260,1211,cran
r,UASF_0042,1,1,0,76,135,844,cran
r,UASF_0046,1,1,0,112,225,409,cran
r,UASF_0071,1,1,0,393,2412,11382,cran
r,UASF_0077,1,1,0,512,5080,45970,cran
r,UASF_0169,1,1,0,120,321,514,cran
r,UASF_0171,1,1,0,525,3789,22988,cran
r,UASF_0181,1,1,0,567,5117,19924,cran
r,UASF_0182,1,1,0,628,11248,125350,cran
r,UASF_0213,1,1,0,198,764,1611,cran
r,UASF_0217,1,1,0,63,179,1185,cran
r,UASF_0219,1,1,0,601,6662,133486,cran
r,UASF_0220,1,1,0,643,10651,683079,cran
r,UASF_0232,1,1,0,474,3221,26188,cran
r,UASF_0233,1,1,0,601,6662,133486,cran
r,UASF_0237,1,1,0,78,228,382,cran
r,UASF_0239,1,1,0,163,511,2228,cran
r,UASF_0241,1,1,0,42,132,1015,cran
r,UASF_0306,1,1,0,640,8393,39880,cran
r,UASF_0315,1,1,0,448,2557,11729,cran
r,UASF_0325,1,1,0,228,654,2178,cran
swift,UASF_0048,1,0,1,6,37,66,github
swift,UASF_0151,1,0,1,6,417,2664,github
swift,UASF_0182,1,0,1,6,456,1327,github
swift,UASF_0183,1,0,1,6,923,11105,github
swift,UASF_0208,1,0,1,6,650,5243,github
swift,UASF_0217,1,0,1,6,459,3538,github
swift,UASF_0219,1,0,1,6,683,6111,github
swift,UASF_0222,1,0,1,4,327,4069,github
swift,UASF_0301,1,0,1,6,441,3634,github
swift,UASF_0304,1,0,1,6,1252,3492,github
swift,UASF_0305,1,0,1,6,648,3529,github
swift,UASF_0306,1,0,1,6,1306,10463,github
swift,UASF_0307,1,0,1,6,131,188,github
swift,UASF_0308,1,0,1,6,733,1340,github
swift,UASF_0309,1,0,1,6,239,360,github
swift,UASF_0311,1,0,1,6,502,838,github
zig,UASF_0022,1,0,1,5,283,2218,github
zig,UASF_0024,1,0,1,5,1030,4815,github
zig,UASF_0118,1,0,1,5,728,5093,github
zig,UASF_0153,1,0,1,4,5,6,github
zig,UASF_0154,1,0,1,5,13,68,github
zig,UASF_0178,1,0,1,5,885,5857,github
zig,UASF_0183,1,0,1,5,2230,77948,github
zig,UASF_0206,1,0,1,5,317,587,github
zig,UASF_0208,1,0,1,5,1065,11885,github
zig,UASF_0219,1,0,1,5,1168,18345,github
zig,UASF_0305,1,0,1,5,248,769,github
zig,UASF_0306,1,0,1,5,1554,23722,github
zig,UASF_0308,1,0,1,5,1219,6443,github
zig,UASF_0309,1,0,1,5,542,1280,github
