source_id,language,ecosystem,source_feature_id,observed,occurrences,file_count
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::for,1,369,62
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::macro,1,2292,86
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::module,1,19,16
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::task_async,1,2,2
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::while,1,20,11
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::constant,1,59,23
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::import,1,214,37
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::struct,1,109,29
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::throw_raise,1,52,17
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::closure_lambda,1,390,53
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::exception_try,1,7,6
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::generic,1,115,23
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::comprehension,1,58,21
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::function,1,1570,74
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::if,1,145,40
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,GEN::scope,1,38,12
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::throw_raise,1,472,29
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::closure_lambda,1,1700,50
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::function,1,7721,66
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::import,1,141,56
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::module,1,31,31
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::struct,1,45,26
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::constant,1,64,34
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::exception_try,1,39,15
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::if,1,1240,52
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::macro,1,15808,67
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::comprehension,1,249,40
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::scope,1,34,12
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::while,1,33,14
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::for,1,1532,61
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::generic,1,83,20
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,GEN::task_async,1,13,4
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::constant,1,18,10
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::throw_raise,1,29,15
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::closure_lambda,1,59,19
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::exception_try,1,4,4
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::for,1,353,41
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::function,1,853,45
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::scope,1,9,5
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::struct,1,81,24
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::comprehension,1,68,21
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::generic,1,40,18
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::import,1,384,46
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::macro,1,1443,47
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::if,1,189,34
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::module,1,34,34
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,GEN::while,1,12,5
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::exception_try,1,13,7
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::ffi,1,2,1
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::if,1,761,64
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::throw_raise,1,31,17
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::closure_lambda,1,331,52
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::constant,1,77,30
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::function,1,2224,115
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::generic,1,218,36
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::struct,1,79,29
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::comprehension,1,142,37
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::import,1,459,101
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::macro,1,3744,110
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::module,1,20,14
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::scope,1,110,29
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::while,1,24,15
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,GEN::for,1,688,90
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::closure_lambda,1,27,4
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::constant,1,23,6
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::struct,1,5,2
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::comprehension,1,4,2
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::exception_try,1,16,4
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::ffi,1,2,2
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::generic,1,7,1
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::if,1,138,6
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::import,1,45,8
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::macro,1,155,8
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::module,1,4,4
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::throw_raise,1,5,3
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::while,1,2,1
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::function,1,120,7
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::scope,1,1,1
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,GEN::for,1,78,5
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::constant,1,145,27
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::function,1,871,66
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::scope,1,7,4
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::if,1,311,33
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::struct,1,38,14
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::closure_lambda,1,148,41
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::comprehension,1,17,10
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::exception_try,1,113,26
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::generic,1,49,14
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::import,1,403,91
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::module,1,64,35
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::while,1,13,6
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::throw_raise,1,29,11
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::ffi,1,2,2
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::for,1,224,34
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::macro,1,960,82
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GEN::task_async,1,8,3
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::enum,1,39,24
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::closure_lambda,1,7,3
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::compile_time_eval,1,287,79
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::defer_cleanup,1,53,22
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::exception_try,1,137,28
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::function,1,1342,139
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::import,1,648,179
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::pointer,1,3,2
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::macro,1,135,27
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::struct,1,111,57
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::task_async,1,163,9
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::yield,1,20,5
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::generic,1,529,65
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::ownership,1,1,1
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::reference,1,79,21
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,GEN::throw_raise,1,270,35
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::function,1,106,10
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::struct,1,9,5
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::yield,1,3,2
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::closure_lambda,1,12,1
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::enum,1,6,3
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::exception_try,1,6,3
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::macro,1,33,4
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::reference,1,5,3
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::task_async,1,36,5
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::throw_raise,1,16,8
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::compile_time_eval,1,32,8
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::generic,1,19,5
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,GEN::import,1,36,17
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,GEN::enum,1,7,4
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,GEN::struct,1,40,9
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,GEN::yield,1,19,4
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,GEN::closure_lambda,1,13,2
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,GEN::defer_cleanup,1,1,1
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,GEN::function,1,252,13
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,GEN::import,1,34,13
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,GEN::ownership,1,1,1
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,GEN::exception_try,1,12,2
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,GEN::generic,1,56,6
