language_id,source_feature_id,observed,baseline_present,new_vs_baseline,package_count,file_count,occurrences,ecosystems
julia,GEN::closure_lambda,1,0,1,6,219,2655,github
julia,GEN::comprehension,1,0,1,6,131,538,github
julia,GEN::constant,1,0,1,6,130,386,github
julia,GEN::exception_try,1,0,1,6,62,192,github
julia,GEN::ffi,1,0,1,3,5,6,github
julia,GEN::for,1,0,1,6,293,3244,github
julia,GEN::function,1,0,1,6,373,13359,github
julia,GEN::generic,1,0,1,6,112,512,github
julia,GEN::if,1,0,1,6,229,2784,github
julia,GEN::import,1,0,1,6,339,1646,github
julia,GEN::macro,1,0,1,6,400,24402,github
julia,GEN::module,1,0,1,6,134,172,github
julia,GEN::scope,1,0,1,6,63,199,github
julia,GEN::struct,1,0,1,6,124,357,github
julia,GEN::task_async,1,0,1,3,9,23,github
julia,GEN::throw_raise,1,0,1,6,92,618,github
julia,GEN::while,1,0,1,6,52,104,github
nim,GEN::closure_lambda,1,0,1,6,36,160,github
nim,GEN::compile_time_eval,1,0,1,6,294,1173,github
nim,GEN::defer_cleanup,1,0,1,3,26,61,github
nim,GEN::enum,1,0,1,6,77,123,github
nim,GEN::exception_try,1,0,1,6,49,180,github
nim,GEN::function,1,0,1,6,573,4767,github
nim,GEN::generic,1,0,1,6,326,1982,github
nim,GEN::import,1,0,1,6,727,1865,github
nim,GEN::macro,1,0,1,6,139,590,github
nim,GEN::ownership,1,0,1,5,5,10,github
nim,GEN::pointer,1,0,1,3,42,328,github
nim,GEN::reference,1,0,1,6,88,244,github
nim,GEN::struct,1,0,1,6,164,401,github
nim,GEN::task_async,1,0,1,4,74,447,github
nim,GEN::throw_raise,1,0,1,6,100,463,github
nim,GEN::yield,1,0,1,6,28,137,github
r,GEN::assignment,1,0,1,643,10651,683079,cran
r,GEN::closure_lambda,1,0,1,63,179,1185,cran
r,GEN::for,1,0,1,542,3773,16460,cran
r,GEN::function,1,0,1,640,8393,39880,cran
r,GEN::if,1,0,1,621,6827,107635,cran
r,GEN::member_access,1,0,1,601,6662,133486,cran
r,GEN::return,1,0,1,567,5117,19924,cran
r,GEN::while,1,0,1,251,648,1255,cran
r,R::r.condition_system,1,0,1,525,3789,22988,cran
r,R::r.dollar_member_partial_match,1,0,1,601,6662,133486,cran
r,R::r.dots_ellipsis,1,0,1,393,2412,11382,cran
r,R::r.double_bracket_index,1,0,1,474,3221,26188,cran
r,R::r.environment,1,0,1,112,225,409,cran
r,R::r.ffi_C_Call_External,1,0,1,127,260,1211,cran
r,R::r.na_value,1,0,1,448,2557,11729,cran
r,R::r.namespace_package,1,0,1,512,5080,45970,cran
r,R::r.nan_inf_semantics,1,0,1,228,654,2178,cran
r,R::r.on_exit_cleanup,1,0,1,120,321,514,cran
r,R::r.quote_substitute_eval,1,0,1,163,511,2228,cran
r,R::r.rng_state,1,0,1,198,764,1611,cran
r,R::r.s3_dispatch,1,0,1,78,228,382,cran
r,R::r.s4_dispatch,1,0,1,42,132,1015,cran
r,R::r.superassignment,1,0,1,76,135,844,cran
swift,GEN::attribute_annotation,1,0,1,6,441,3634,github
swift,GEN::await,1,0,1,4,327,4069,github
swift,GEN::capture,1,0,1,6,37,66,github
swift,GEN::class,1,0,1,6,502,838,github
swift,GEN::closure_lambda,1,0,1,6,459,3538,github
swift,GEN::defer_cleanup,1,0,1,6,122,369,github
swift,GEN::enum,1,0,1,6,239,360,github
swift,GEN::exception_try,1,0,1,6,546,9598,github
swift,GEN::for,1,0,1,6,456,1327,github
swift,GEN::function,1,0,1,6,1306,10463,github
swift,GEN::generic,1,0,1,6,648,3529,github
swift,GEN::import,1,0,1,6,1252,3492,github
swift,GEN::interface_trait,1,0,1,6,131,188,github
swift,GEN::optional_nullable,1,0,1,6,650,5243,github
swift,GEN::pattern,1,0,1,6,683,6111,github
swift,GEN::struct,1,0,1,6,733,1340,github
swift,GEN::task_async,1,0,1,6,417,2664,github
swift,GEN::throw_raise,1,0,1,5,255,1138,github
zig,GEN::atomic,1,0,1,5,13,68,github
zig,GEN::compile_time_eval,1,0,1,5,728,5093,github
zig,GEN::defer_cleanup,1,0,1,5,943,12979,github
zig,GEN::enum,1,0,1,5,542,1280,github
zig,GEN::exception_try,1,0,1,5,1287,64969,github
zig,GEN::ffi,1,0,1,5,283,2218,github
zig,GEN::function,1,0,1,5,1554,23722,github
zig,GEN::generic,1,0,1,5,248,769,github
zig,GEN::optional_nullable,1,0,1,5,1065,11885,github
zig,GEN::pattern,1,0,1,5,1168,18345,github
zig,GEN::struct,1,0,1,5,1219,6443,github
zig,GEN::switch_match,1,0,1,5,885,5857,github
zig,GEN::thread,1,0,1,4,5,6,github
zig,GEN::union_sum,1,0,1,5,317,587,github
zig,GEN::unsafe,1,0,1,5,1030,4815,github
