language_id,element_type,element_id,observed_via_semantics,semantic_package_evidence,semantic_occurrences,ecosystems
julia,facet,UASF_0022,1,3,6,github
julia,facet,UASF_0051,1,6,199,github
julia,facet,UASF_0119,1,6,24402,github
julia,facet,UASF_0151,1,3,23,github
julia,facet,UASF_0182,1,6,6132,github
julia,facet,UASF_0183,1,6,810,github
julia,facet,UASF_0217,1,6,2655,github
julia,facet,UASF_0218,1,6,538,github
julia,facet,UASF_0302,1,6,386,github
julia,facet,UASF_0304,1,6,1818,github
julia,facet,UASF_0305,1,6,512,github
julia,facet,UASF_0306,1,6,13359,github
julia,facet,UASF_0308,1,6,357,github
julia,field,abi_contract,1,3,6,github
julia,field,attributes,1,72,51197,github
julia,field,binding_refs,1,48,19824,github
julia,field,branches,1,27,20862,github
julia,field,calling_convention,1,3,6,github
julia,field,compiletime_contract,1,6,24402,github
julia,field,concurrency_contract,1,3,23,github
julia,field,condition,1,27,20862,github
julia,field,dialect,1,6,24402,github
julia,field,effects,1,27,22962,github
julia,field,evaluation_order,1,24,10135,github
julia,field,extensions,1,72,51197,github
julia,field,id,1,72,51197,github
julia,field,kind,1,72,51197,github
julia,field,layout,1,6,357,github
julia,field,lifetime,1,3,6,github
julia,field,lowering,1,6,24402,github
julia,field,members,1,6,357,github
julia,field,memory_model,1,3,6,github
julia,field,memory_order,1,3,23,github
julia,field,name,1,30,16432,github
julia,field,operands,1,30,23070,github
julia,field,operation,1,12,3193,github
julia,field,ownership,1,3,6,github
julia,field,results,1,30,23070,github
julia,field,scope_id,1,36,16631,github
julia,field,semantic_facets,1,72,51197,github
julia,field,source_span,1,72,51197,github
julia,field,symbol,1,42,19625,github
julia,field,synchronization,1,3,23,github
julia,field,type_ref,1,30,16432,github
julia,field,type_shape,1,30,16432,github
julia,field,value,1,12,3193,github
julia,relation,abi.calls,1,3,6,github
julia,relation,binding.declares,1,42,19625,github
julia,relation,binding.refers,1,42,19625,github
julia,relation,binding.shadows,1,42,19625,github
julia,relation,capture.captures,1,24,18189,github
julia,relation,compiletime.depends,1,6,24402,github
julia,relation,concurrency.atomic_order,1,3,23,github
julia,relation,concurrency.communicates,1,3,23,github
julia,relation,concurrency.spawns,1,3,23,github
julia,relation,concurrency.synchronizes,1,3,23,github
julia,relation,control.false,1,27,20862,github
julia,relation,control.loop_back,1,27,20862,github
julia,relation,control.next,1,27,20862,github
julia,relation,control.true,1,27,20862,github
julia,relation,data.def_use,1,24,20415,github
julia,relation,data.operand,1,24,20415,github
julia,relation,data.result,1,24,20415,github
julia,relation,dialect.requires,1,6,24402,github
julia,relation,effect.has,1,27,22962,github
julia,relation,evaluation.before,1,24,10135,github
julia,relation,layout.field,1,6,357,github
julia,relation,name.resolves,1,42,19625,github
julia,relation,operation.kind,1,12,3193,github
julia,relation,scope.parent,1,24,15733,github
julia,relation,type.constraint,1,12,869,github
julia,relation,type.convert,1,12,869,github
julia,relation,type.has,1,12,869,github
julia,relation,type.origin,1,12,869,github
julia,relation,type.parameter,1,12,869,github
julia,structure,ClosureExpr,1,6,2655,github
julia,structure,ComprehensionExpr,1,6,538,github
julia,structure,ConcurrencyOp,1,3,23,github
julia,structure,ConstantDecl,1,6,386,github
julia,structure,DeferCleanupStmt,1,6,810,github
julia,structure,ForeignDeclCall,1,3,6,github
julia,structure,FunctionDecl,1,6,13359,github
julia,structure,GenericParamDecl,1,6,512,github
julia,structure,IfStmt,1,6,6132,github
julia,structure,ImportDecl,1,6,1818,github
julia,structure,LoopStmt,1,6,6132,github
julia,structure,MacroCompileTime,1,6,24402,github
julia,structure,ModuleDecl,1,6,1818,github
julia,structure,ParameterDecl,1,6,1818,github
julia,structure,RaisePanicStmt,1,6,810,github
julia,structure,RecordTypeDecl,1,6,357,github
julia,structure,Scope,1,6,199,github
julia,structure,TryStmt,1,6,810,github
nim,facet,UASF_0026,1,5,10,github
nim,facet,UASF_0118,1,6,1173,github
nim,facet,UASF_0119,1,6,590,github
nim,facet,UASF_0151,1,4,447,github
nim,facet,UASF_0183,1,6,704,github
nim,facet,UASF_0207,1,6,572,github
nim,facet,UASF_0217,1,6,160,github
nim,facet,UASF_0223,1,6,137,github
nim,facet,UASF_0304,1,6,1865,github
nim,facet,UASF_0305,1,6,1982,github
nim,facet,UASF_0306,1,6,4767,github
nim,facet,UASF_0308,1,6,401,github
nim,facet,UASF_0309,1,6,123,github
nim,field,abi_contract,1,5,10,github
nim,field,attributes,1,75,12931,github
nim,field,binding_refs,1,36,9298,github
nim,field,branches,1,22,6055,github
nim,field,calling_convention,1,5,10,github
nim,field,compiletime_contract,1,12,1763,github
nim,field,concurrency_contract,1,4,447,github
nim,field,condition,1,22,6055,github
nim,field,conversion,1,6,572,github
nim,field,dialect,1,12,1763,github
nim,field,effects,1,24,5768,github
nim,field,evaluation_order,1,18,1001,github
nim,field,extensions,1,75,12931,github
nim,field,id,1,75,12931,github
nim,field,kind,1,75,12931,github
nim,field,layout,1,12,524,github
nim,field,lifetime,1,11,582,github
nim,field,lowering,1,12,1763,github
nim,field,members,1,12,524,github
nim,field,memory_model,1,5,10,github
nim,field,memory_order,1,4,447,github
nim,field,name,1,30,9138,github
nim,field,operands,1,24,6237,github
nim,field,operation,1,12,297,github
nim,field,ownership,1,11,582,github
nim,field,provenance,1,11,582,github
nim,field,results,1,24,6237,github
nim,field,scope_id,1,30,9138,github
nim,field,semantic_facets,1,75,12931,github
nim,field,source_span,1,75,12931,github
nim,field,storage,1,11,582,github
nim,field,symbol,1,30,9175,github
nim,field,synchronization,1,4,447,github
nim,field,type_origin,1,6,572,github
nim,field,type_ref,1,36,9710,github
nim,field,type_shape,1,36,9710,github
nim,field,value,1,12,297,github
nim,relation,binding.declares,1,30,9175,github
nim,relation,binding.refers,1,30,9175,github
nim,relation,binding.shadows,1,30,9175,github
nim,relation,capture.captures,1,24,7193,github
nim,relation,compiletime.depends,1,12,1763,github
nim,relation,concurrency.atomic_order,1,4,447,github
nim,relation,concurrency.communicates,1,4,447,github
nim,relation,concurrency.spawns,1,4,447,github
nim,relation,concurrency.synchronizes,1,4,447,github
nim,relation,control.false,1,22,6055,github
nim,relation,control.loop_back,1,22,6055,github
nim,relation,control.next,1,22,6055,github
nim,relation,control.true,1,22,6055,github
nim,relation,conversion.converts,1,6,572,github
nim,relation,data.def_use,1,12,5940,github
nim,relation,data.operand,1,12,5940,github
nim,relation,data.result,1,12,5940,github
nim,relation,dialect.requires,1,12,1763,github
nim,relation,effect.has,1,24,5768,github
nim,relation,evaluation.before,1,18,1001,github
nim,relation,layout.field,1,12,524,github
nim,relation,lifetime.outlives,1,5,10,github
nim,relation,memory.aliases,1,11,582,github
nim,relation,memory.borrows,1,11,582,github
nim,relation,memory.owns,1,11,582,github
nim,relation,name.resolves,1,30,9175,github
nim,relation,operation.kind,1,12,297,github
nim,relation,scope.parent,1,18,7033,github
nim,relation,storage.resides_in,1,11,582,github
nim,relation,type.constraint,1,24,3078,github
nim,relation,type.convert,1,24,3078,github
nim,relation,type.has,1,24,3078,github
nim,relation,type.origin,1,24,3078,github
nim,relation,type.parameter,1,24,3078,github
nim,structure,ClosureExpr,1,6,160,github
nim,structure,CompileTimeEval,1,6,1173,github
nim,structure,ConcurrencyOp,1,4,447,github
nim,structure,DeferCleanupStmt,1,6,704,github
nim,structure,FunctionDecl,1,6,4767,github
nim,structure,GenericParamDecl,1,6,1982,github
nim,structure,ImportDecl,1,6,1865,github
nim,structure,MacroCompileTime,1,6,590,github
nim,structure,ModuleDecl,1,6,1865,github
nim,structure,OwnershipSemantics,1,5,10,github
nim,structure,ParameterDecl,1,6,1865,github
nim,structure,PointerType,1,6,572,github
nim,structure,RaisePanicStmt,1,6,704,github
nim,structure,RecordTypeDecl,1,6,401,github
nim,structure,ReferenceType,1,6,572,github
nim,structure,TryStmt,1,6,704,github
nim,structure,VariantTypeDecl,1,6,123,github
nim,structure,YieldExpr,1,6,137,github
r,facet,UASF_0014,1,127,1211,cran
r,facet,UASF_0042,1,76,844,cran
r,facet,UASF_0046,1,112,409,cran
r,facet,UASF_0071,1,393,11382,cran
r,facet,UASF_0077,1,512,45970,cran
r,facet,UASF_0169,1,120,514,cran
r,facet,UASF_0171,1,525,22988,cran
r,facet,UASF_0181,1,567,19924,cran
r,facet,UASF_0182,1,628,125350,cran
r,facet,UASF_0213,1,198,1611,cran
r,facet,UASF_0217,1,63,1185,cran
r,facet,UASF_0219,1,601,133486,cran
r,facet,UASF_0220,1,643,683079,cran
r,facet,UASF_0232,1,474,26188,cran
r,facet,UASF_0233,1,601,133486,cran
r,facet,UASF_0237,1,78,382,cran
r,facet,UASF_0239,1,163,2228,cran
r,facet,UASF_0241,1,42,1015,cran
r,facet,UASF_0306,1,640,39880,cran
r,facet,UASF_0315,1,448,11729,cran
r,facet,UASF_0325,1,228,2178,cran
r,field,abi_contract,1,127,1211,cran
r,field,attributes,1,7239,1265039,cran
r,field,binding_refs,1,3924,1053346,cran
r,field,branches,1,2480,208656,cran
r,field,calling_convention,1,127,1211,cran
r,field,condition,1,2480,208656,cran
r,field,dialect,1,795,49595,cran
r,field,effects,1,3665,896968,cran
r,field,evaluation_order,1,3178,977148,cran
r,field,extensions,1,7239,1265039,cran
r,field,id,1,7239,1265039,cran
r,field,kind,1,7239,1265039,cran
r,field,lifetime,1,127,1211,cran
r,field,memory_model,1,127,1211,cran
r,field,name,1,1665,98629,cran
r,field,operands,1,5843,1193947,cran
r,field,operation,1,3810,1007182,cran
r,field,ownership,1,127,1211,cran
r,field,results,1,5843,1193947,cran
r,field,runtime_contract,1,3508,249395,cran
r,field,scope_id,1,2617,235596,cran
r,field,semantic_facets,1,7239,1265039,cran
r,field,source_span,1,7239,1265039,cran
r,field,symbol,1,1947,857630,cran
r,field,type_ref,1,1995,78199,cran
r,field,type_shape,1,1995,78199,cran
r,field,value,1,2311,843089,cran
r,relation,binding.declares,1,1947,857630,cran
r,relation,binding.refers,1,1947,857630,cran
r,relation,binding.shadows,1,1947,857630,cran
r,relation,capture.captures,1,703,41065,cran
r,relation,control.false,1,1835,185154,cran
r,relation,control.loop_back,1,1835,185154,cran
r,relation,control.next,1,1835,185154,cran
r,relation,control.true,1,1835,185154,cran
r,relation,data.def_use,1,3079,1001719,cran
r,relation,data.operand,1,3079,1001719,cran
r,relation,data.result,1,3079,1001719,cran
r,relation,dialect.requires,1,795,49595,cran
r,relation,effect.has,1,1974,849494,cran
r,relation,evaluation.before,1,3178,977148,cran
r,relation,name.resolves,1,1947,857630,cran
r,relation,operation.kind,1,3417,995800,cran
r,relation,runtime.requires,1,3508,249395,cran
r,relation,scope.parent,1,640,39880,cran
r,structure,AssignStmt,1,643,683079,cran
r,structure,BindingPattern,1,601,133486,cran
r,structure,ClosureExpr,1,63,1185,cran
r,structure,FunctionDecl,1,640,39880,cran
r,structure,IfStmt,1,628,125350,cran
r,structure,LoopStmt,1,628,125350,cran
r,structure,MemberAccessExpr,1,601,133486,cran
r,structure,ReturnStmt,1,567,19924,cran
